id;nome;descrição;preço;estoque
52;Produto 52;Descrição detalhada do Produto 52;136.71;168
53;Produto 53;Descrição detalhada do Produto 53;1122.36;315
54;Produto 54;Descrição detalhada do Produto 54;1498.36;38
55;Produto 55;Descrição detalhada do Produto 55;1171.74;206
56;Produto 56;Descrição detalhada do Produto 56;564.49;285
57;Produto 57;Descrição detalhada do Produto 57;1038.06;251
58;Produto 58;Descrição detalhada do Produto 58;1310.54;326
59;Produto 59;Descrição detalhada do Produto 59;8.12;191
60;Produto 60;Descrição detalhada do Produto 60;445.15;257
61;Produto 61;Descrição detalhada do Produto 61;1156.78;251
62;Produto 62;Descrição detalhada do Produto 62;245.87;287
63;Produto 63;Descrição detalhada do Produto 63;312.2;149
64;Produto 64;Descrição detalhada do Produto 64;986.67;114
65;Produto 65;Descrição detalhada do Produto 65;945.77;55
66;Produto 66;Descrição detalhada do Produto 66;127.14;421
67;Produto 67;Descrição detalhada do Produto 67;63.82;301
68;Produto 68;Descrição detalhada do Produto 68;360.83;193
69;Produto 69;Descrição detalhada do Produto 69;609.35;94
70;Produto 70;Descrição detalhada do Produto 70;853.66;28
71;Produto 71;Descrição detalhada do Produto 71;1145.02;337
72;Produto 72;Descrição detalhada do Produto 72;761.89;109
73;Produto 73;Descrição detalhada do Produto 73;596.87;104
74;Produto 74;Descrição detalhada do Produto 74;237.42;210
75;Produto 75;Descrição detalhada do Produto 75;1261.56;235
76;Produto 76;Descrição detalhada do Produto 76;1187.6;371
77;Produto 77;Descrição detalhada do Produto 77;652.24;314
78;Produto 78;Descrição detalhada do Produto 78;185.14;404
79;Produto 79;Descrição detalhada do Produto 79;260.91;194
80;Produto 80;Descrição detalhada do Produto 80;1232.45;292
81;Produto 81;Descrição detalhada do Produto 81;47.07;58
82;Produto 82;Descrição detalhada do Produto 82;769.73;411
83;Produto 83;Descrição detalhada do Produto 83;360.84;284
84;Produto 84;Descrição detalhada do Produto 84;840.57;453
85;Produto 85;Descrição detalhada do Produto 85;392.8;499
86;Produto 86;Descrição detalhada do Produto 86;1497.58;216
87;Produto 87;Descrição detalhada do Produto 87;15.21;468
88;Produto 88;Descrição detalhada do Produto 88;471.77;39
89;Produto 89;Descrição detalhada do Produto 89;198.42;272
90;Produto 90;Descrição detalhada do Produto 90;232.63;280
91;Produto 91;Descrição detalhada do Produto 91;480.24;491
92;Produto 92;Descrição detalhada do Produto 92;183.02;243
93;Produto 93;Descrição detalhada do Produto 93;1139.04;449
94;Produto 94;Descrição detalhada do Produto 94;1071.16;282
95;Produto 95;Descrição detalhada do Produto 95;1472.64;476
96;Produto 96;Descrição detalhada do Produto 96;171.03;77
97;Produto 97;Descrição detalhada do Produto 97;855.24;388
98;Produto 98;Descrição detalhada do Produto 98;146.39;478
99;Produto 99;Descrição detalhada do Produto 99;531.72;239
100;Produto 100;Descrição detalhada do Produto 100;1178.45;356
101;Produto 101;Descrição detalhada do Produto 101;1041.5;336
102;Produto 102;Descrição detalhada do Produto 102;344.65;225
103;Produto 103;Descrição detalhada do Produto 103;172.9;126
104;Produto 104;Descrição detalhada do Produto 104;1453.24;68
105;Produto 105;Descrição detalhada do Produto 105;416.27;12
106;Produto 106;Descrição detalhada do Produto 106;1144.33;500
107;Produto 107;Descrição detalhada do Produto 107;217.8;352
108;Produto 108;Descrição detalhada do Produto 108;237.36;107
109;Produto 109;Descrição detalhada do Produto 109;278.15;267
110;Produto 110;Descrição detalhada do Produto 110;296.95;32
111;Produto 111;Descrição detalhada do Produto 111;64.16;181
112;Produto 112;Descrição detalhada do Produto 112;502.94;323
113;Produto 113;Descrição detalhada do Produto 113;204.04;339
114;Produto 114;Descrição detalhada do Produto 114;110.01;71
115;Produto 115;Descrição detalhada do Produto 115;107.0;342
116;Produto 116;Descrição detalhada do Produto 116;1212.48;412
117;Produto 117;Descrição detalhada do Produto 117;534.97;405
118;Produto 118;Descrição detalhada do Produto 118;1285.36;11
119;Produto 119;Descrição detalhada do Produto 119;1300.97;36
120;Produto 120;Descrição detalhada do Produto 120;525.69;489
121;Produto 121;Descrição detalhada do Produto 121;1349.07;271
122;Produto 122;Descrição detalhada do Produto 122;564.69;233
123;Produto 123;Descrição detalhada do Produto 123;1190.97;198
124;Produto 124;Descrição detalhada do Produto 124;317.81;39
125;Produto 125;Descrição detalhada do Produto 125;656.99;25
126;Produto 126;Descrição detalhada do Produto 126;140.96;140
127;Produto 127;Descrição detalhada do Produto 127;1494.5;220
128;Produto 128;Descrição detalhada do Produto 128;302.02;445
129;Produto 129;Descrição detalhada do Produto 129;1251.36;145
130;Produto 130;Descrição detalhada do Produto 130;827.39;232
131;Produto 131;Descrição detalhada do Produto 131;736.75;292
132;Produto 132;Descrição detalhada do Produto 132;891.59;58
133;Produto 133;Descrição detalhada do Produto 133;916.05;281
134;Produto 134;Descrição detalhada do Produto 134;398.82;219
135;Produto 135;Descrição detalhada do Produto 135;1376.85;99
136;Produto 136;Descrição detalhada do Produto 136;364.04;286
137;Produto 137;Descrição detalhada do Produto 137;1094.61;267
138;Produto 138;Descrição detalhada do Produto 138;1273.52;278
139;Produto 139;Descrição detalhada do Produto 139;23.22;315
140;Produto 140;Descrição detalhada do Produto 140;1258.22;367
141;Produto 141;Descrição detalhada do Produto 141;786.81;133
142;Produto 142;Descrição detalhada do Produto 142;136.68;77
143;Produto 143;Descrição detalhada do Produto 143;369.19;348
144;Produto 144;Descrição detalhada do Produto 144;844.84;166
145;Produto 145;Descrição detalhada do Produto 145;877.25;177
146;Produto 146;Descrição detalhada do Produto 146;1111.29;89
147;Produto 147;Descrição detalhada do Produto 147;53.06;409
148;Produto 148;Descrição detalhada do Produto 148;727.45;290
149;Produto 149;Descrição detalhada do Produto 149;24.14;116
150;Produto 150;Descrição detalhada do Produto 150;929.84;172
151;Produto 151;Descrição detalhada do Produto 151;138.25;80
152;Produto 152;Descrição detalhada do Produto 152;932.91;51
153;Produto 153;Descrição detalhada do Produto 153;1324.01;121
154;Produto 154;Descrição detalhada do Produto 154;1270.74;327
155;Produto 155;Descrição detalhada do Produto 155;997.52;430
156;Produto 156;Descrição detalhada do Produto 156;642.72;20
157;Produto 157;Descrição detalhada do Produto 157;1087.26;456
158;Produto 158;Descrição detalhada do Produto 158;490.58;233
159;Produto 159;Descrição detalhada do Produto 159;866.7;273
160;Produto 160;Descrição detalhada do Produto 160;918.58;307
161;Produto 161;Descrição detalhada do Produto 161;321.96;350
162;Produto 162;Descrição detalhada do Produto 162;81.51;464
163;Produto 163;Descrição detalhada do Produto 163;620.98;101
164;Produto 164;Descrição detalhada do Produto 164;633.98;50
165;Produto 165;Descrição detalhada do Produto 165;678.38;358
166;Produto 166;Descrição detalhada do Produto 166;1440.43;290
167;Produto 167;Descrição detalhada do Produto 167;1106.91;92
168;Produto 168;Descrição detalhada do Produto 168;460.5;298
169;Produto 169;Descrição detalhada do Produto 169;428.5;19
170;Produto 170;Descrição detalhada do Produto 170;792.65;149
171;Produto 171;Descrição detalhada do Produto 171;327.25;244
172;Produto 172;Descrição detalhada do Produto 172;808.97;362
173;Produto 173;Descrição detalhada do Produto 173;61.59;441
174;Produto 174;Descrição detalhada do Produto 174;244.74;91
175;Produto 175;Descrição detalhada do Produto 175;1444.95;334
176;Produto 176;Descrição detalhada do Produto 176;1217.62;431
177;Produto 177;Descrição detalhada do Produto 177;65.42;325
178;Produto 178;Descrição detalhada do Produto 178;1463.66;326
179;Produto 179;Descrição detalhada do Produto 179;439.11;463
180;Produto 180;Descrição detalhada do Produto 180;1047.56;425
181;Produto 181;Descrição detalhada do Produto 181;758.04;82
182;Produto 182;Descrição detalhada do Produto 182;1429.59;364
183;Produto 183;Descrição detalhada do Produto 183;876.88;129
184;Produto 184;Descrição detalhada do Produto 184;1002.54;353
185;Produto 185;Descrição detalhada do Produto 185;1486.32;240
186;Produto 186;Descrição detalhada do Produto 186;818.28;202
187;Produto 187;Descrição detalhada do Produto 187;722.57;190
188;Produto 188;Descrição detalhada do Produto 188;410.21;25
189;Produto 189;Descrição detalhada do Produto 189;358.76;357
190;Produto 190;Descrição detalhada do Produto 190;154.3;322
191;Produto 191;Descrição detalhada do Produto 191;1101.73;493
192;Produto 192;Descrição detalhada do Produto 192;1135.26;183
193;Produto 193;Descrição detalhada do Produto 193;84.72;191
194;Produto 194;Descrição detalhada do Produto 194;53.81;435
195;Produto 195;Descrição detalhada do Produto 195;983.29;286
196;Produto 196;Descrição detalhada do Produto 196;432.6;429
197;Produto 197;Descrição detalhada do Produto 197;261.33;441
198;Produto 198;Descrição detalhada do Produto 198;1421.7;343
199;Produto 199;Descrição detalhada do Produto 199;1265.55;99
200;Produto 200;Descrição detalhada do Produto 200;1388.71;376
201;Produto 201;Descrição detalhada do Produto 201;133.93;80
202;Produto 202;Descrição detalhada do Produto 202;316.73;81
203;Produto 203;Descrição detalhada do Produto 203;598.6;158
204;Produto 204;Descrição detalhada do Produto 204;1019.25;202
205;Produto 205;Descrição detalhada do Produto 205;520.07;325
206;Produto 206;Descrição detalhada do Produto 206;1487.8;411
207;Produto 207;Descrição detalhada do Produto 207;672.96;27
208;Produto 208;Descrição detalhada do Produto 208;1050.47;70
209;Produto 209;Descrição detalhada do Produto 209;241.5;333
210;Produto 210;Descrição detalhada do Produto 210;1003.68;482
211;Produto 211;Descrição detalhada do Produto 211;324.41;168
212;Produto 212;Descrição detalhada do Produto 212;27.36;267
213;Produto 213;Descrição detalhada do Produto 213;1343.9;103
214;Produto 214;Descrição detalhada do Produto 214;469.75;294
215;Produto 215;Descrição detalhada do Produto 215;120.78;482
216;Produto 216;Descrição detalhada do Produto 216;925.55;306
217;Produto 217;Descrição detalhada do Produto 217;153.02;1
218;Produto 218;Descrição detalhada do Produto 218;1347.84;183
219;Produto 219;Descrição detalhada do Produto 219;1017.85;97
220;Produto 220;Descrição detalhada do Produto 220;1378.29;230
221;Produto 221;Descrição detalhada do Produto 221;1087.84;267
222;Produto 222;Descrição detalhada do Produto 222;737.43;16
223;Produto 223;Descrição detalhada do Produto 223;462.56;365
224;Produto 224;Descrição detalhada do Produto 224;61.87;447
225;Produto 225;Descrição detalhada do Produto 225;742.62;64
226;Produto 226;Descrição detalhada do Produto 226;1312.9;14
227;Produto 227;Descrição detalhada do Produto 227;1121.95;175
228;Produto 228;Descrição detalhada do Produto 228;361.2;474
229;Produto 229;Descrição detalhada do Produto 229;544.36;172
230;Produto 230;Descrição detalhada do Produto 230;629.67;318
231;Produto 231;Descrição detalhada do Produto 231;509.93;500
232;Produto 232;Descrição detalhada do Produto 232;420.43;409
233;Produto 233;Descrição detalhada do Produto 233;789.86;52
234;Produto 234;Descrição detalhada do Produto 234;1310.93;292
235;Produto 235;Descrição detalhada do Produto 235;837.62;446
236;Produto 236;Descrição detalhada do Produto 236;1475.37;327
237;Produto 237;Descrição detalhada do Produto 237;790.55;324
238;Produto 238;Descrição detalhada do Produto 238;445.85;213
239;Produto 239;Descrição detalhada do Produto 239;970.55;402
240;Produto 240;Descrição detalhada do Produto 240;480.78;213
241;Produto 241;Descrição detalhada do Produto 241;456.46;181
242;Produto 242;Descrição detalhada do Produto 242;1077.01;444
243;Produto 243;Descrição detalhada do Produto 243;1044.72;329
244;Produto 244;Descrição detalhada do Produto 244;720.18;14
245;Produto 245;Descrição detalhada do Produto 245;1321.13;355
246;Produto 246;Descrição detalhada do Produto 246;680.98;48
247;Produto 247;Descrição detalhada do Produto 247;1113.58;461
248;Produto 248;Descrição detalhada do Produto 248;359.89;251
249;Produto 249;Descrição detalhada do Produto 249;1222.49;412
250;Produto 250;Descrição detalhada do Produto 250;342.64;385
251;Produto 251;Descrição detalhada do Produto 251;83.78;358
252;Produto 252;Descrição detalhada do Produto 252;1092.5;363
253;Produto 253;Descrição detalhada do Produto 253;872.81;232
254;Produto 254;Descrição detalhada do Produto 254;1022.62;96
255;Produto 255;Descrição detalhada do Produto 255;964.02;256
256;Produto 256;Descrição detalhada do Produto 256;1371.92;402
257;Produto 257;Descrição detalhada do Produto 257;67.02;312
258;Produto 258;Descrição detalhada do Produto 258;385.6;298
259;Produto 259;Descrição detalhada do Produto 259;1191.77;121
260;Produto 260;Descrição detalhada do Produto 260;367.03;202
261;Produto 261;Descrição detalhada do Produto 261;1263.02;169
262;Produto 262;Descrição detalhada do Produto 262;1475.57;366
263;Produto 263;Descrição detalhada do Produto 263;82.71;450
264;Produto 264;Descrição detalhada do Produto 264;670.2;384
265;Produto 265;Descrição detalhada do Produto 265;1289.72;211
266;Produto 266;Descrição detalhada do Produto 266;1295.64;261
267;Produto 267;Descrição detalhada do Produto 267;826.05;219
268;Produto 268;Descrição detalhada do Produto 268;1179.25;455
269;Produto 269;Descrição detalhada do Produto 269;809.15;69
270;Produto 270;Descrição detalhada do Produto 270;439.69;275
271;Produto 271;Descrição detalhada do Produto 271;588.05;99
272;Produto 272;Descrição detalhada do Produto 272;622.58;174
273;Produto 273;Descrição detalhada do Produto 273;1003.65;404
274;Produto 274;Descrição detalhada do Produto 274;1293.02;438
275;Produto 275;Descrição detalhada do Produto 275;955.32;352
276;Produto 276;Descrição detalhada do Produto 276;111.29;174
277;Produto 277;Descrição detalhada do Produto 277;1087.28;167
278;Produto 278;Descrição detalhada do Produto 278;1451.07;12
279;Produto 279;Descrição detalhada do Produto 279;596.56;486
280;Produto 280;Descrição detalhada do Produto 280;546.43;171
281;Produto 281;Descrição detalhada do Produto 281;438.31;452
282;Produto 282;Descrição detalhada do Produto 282;7.8;470
283;Produto 283;Descrição detalhada do Produto 283;602.34;242
284;Produto 284;Descrição detalhada do Produto 284;1001.08;183
285;Produto 285;Descrição detalhada do Produto 285;1325.72;158
286;Produto 286;Descrição detalhada do Produto 286;350.42;294
287;Produto 287;Descrição detalhada do Produto 287;801.39;33
288;Produto 288;Descrição detalhada do Produto 288;1000.06;232
289;Produto 289;Descrição detalhada do Produto 289;1148.87;81
290;Produto 290;Descrição detalhada do Produto 290;595.09;207
291;Produto 291;Descrição detalhada do Produto 291;850.09;295
292;Produto 292;Descrição detalhada do Produto 292;644.02;207
293;Produto 293;Descrição detalhada do Produto 293;458.59;20
294;Produto 294;Descrição detalhada do Produto 294;1200.05;434
295;Produto 295;Descrição detalhada do Produto 295;74.57;277
296;Produto 296;Descrição detalhada do Produto 296;335.35;328
297;Produto 297;Descrição detalhada do Produto 297;348.14;411
298;Produto 298;Descrição detalhada do Produto 298;559.29;382
299;Produto 299;Descrição detalhada do Produto 299;1377.5;476
300;Produto 300;Descrição detalhada do Produto 300;843.3;242
301;Produto 301;Descrição detalhada do Produto 301;1004.98;268
302;Produto 302;Descrição detalhada do Produto 302;725.31;313
303;Produto 303;Descrição detalhada do Produto 303;185.38;16
304;Produto 304;Descrição detalhada do Produto 304;27.29;359
305;Produto 305;Descrição detalhada do Produto 305;644.18;296
306;Produto 306;Descrição detalhada do Produto 306;432.34;10
307;Produto 307;Descrição detalhada do Produto 307;542.16;496
308;Produto 308;Descrição detalhada do Produto 308;1122.19;105
309;Produto 309;Descrição detalhada do Produto 309;1239.75;370
310;Produto 310;Descrição detalhada do Produto 310;738.88;6
311;Produto 311;Descrição detalhada do Produto 311;1430.59;478
312;Produto 312;Descrição detalhada do Produto 312;742.61;41
313;Produto 313;Descrição detalhada do Produto 313;1157.54;477
314;Produto 314;Descrição detalhada do Produto 314;326.54;192
315;Produto 315;Descrição detalhada do Produto 315;476.32;466
316;Produto 316;Descrição detalhada do Produto 316;1115.54;372
317;Produto 317;Descrição detalhada do Produto 317;81.52;154
318;Produto 318;Descrição detalhada do Produto 318;1293.26;151
319;Produto 319;Descrição detalhada do Produto 319;143.59;33
320;Produto 320;Descrição detalhada do Produto 320;454.59;252
321;Produto 321;Descrição detalhada do Produto 321;862.04;444
322;Produto 322;Descrição detalhada do Produto 322;659.24;398
323;Produto 323;Descrição detalhada do Produto 323;987.55;435
324;Produto 324;Descrição detalhada do Produto 324;554.49;500
325;Produto 325;Descrição detalhada do Produto 325;966.53;307
326;Produto 326;Descrição detalhada do Produto 326;898.26;433
327;Produto 327;Descrição detalhada do Produto 327;989.06;428
328;Produto 328;Descrição detalhada do Produto 328;894.29;225
329;Produto 329;Descrição detalhada do Produto 329;918.16;435
330;Produto 330;Descrição detalhada do Produto 330;1056.5;435
331;Produto 331;Descrição detalhada do Produto 331;634.54;364
332;Produto 332;Descrição detalhada do Produto 332;1295.29;12
333;Produto 333;Descrição detalhada do Produto 333;402.2;65
334;Produto 334;Descrição detalhada do Produto 334;228.7;384
335;Produto 335;Descrição detalhada do Produto 335;1221.82;6
336;Produto 336;Descrição detalhada do Produto 336;306.68;202
337;Produto 337;Descrição detalhada do Produto 337;172.89;182
338;Produto 338;Descrição detalhada do Produto 338;517.15;422
339;Produto 339;Descrição detalhada do Produto 339;431.7;75
340;Produto 340;Descrição detalhada do Produto 340;687.99;285
341;Produto 341;Descrição detalhada do Produto 341;565.9;60
342;Produto 342;Descrição detalhada do Produto 342;1022.32;205
343;Produto 343;Descrição detalhada do Produto 343;777.26;325
344;Produto 344;Descrição detalhada do Produto 344;18.48;34
345;Produto 345;Descrição detalhada do Produto 345;1138.95;354
346;Produto 346;Descrição detalhada do Produto 346;651.21;443
347;Produto 347;Descrição detalhada do Produto 347;105.13;221
348;Produto 348;Descrição detalhada do Produto 348;150.18;453
349;Produto 349;Descrição detalhada do Produto 349;848.61;349
350;Produto 350;Descrição detalhada do Produto 350;1410.15;197
351;Produto 351;Descrição detalhada do Produto 351;1054.36;321
352;Produto 352;Descrição detalhada do Produto 352;366.6;247
353;Produto 353;Descrição detalhada do Produto 353;1091.1;424
354;Produto 354;Descrição detalhada do Produto 354;639.29;318
355;Produto 355;Descrição detalhada do Produto 355;973.38;16
356;Produto 356;Descrição detalhada do Produto 356;1459.05;50
357;Produto 357;Descrição detalhada do Produto 357;405.01;15
358;Produto 358;Descrição detalhada do Produto 358;23.23;88
359;Produto 359;Descrição detalhada do Produto 359;894.52;402
360;Produto 360;Descrição detalhada do Produto 360;660.28;450
361;Produto 361;Descrição detalhada do Produto 361;763.21;493
362;Produto 362;Descrição detalhada do Produto 362;940.43;436
363;Produto 363;Descrição detalhada do Produto 363;127.67;247
364;Produto 364;Descrição detalhada do Produto 364;569.26;338
365;Produto 365;Descrição detalhada do Produto 365;66.2;88
366;Produto 366;Descrição detalhada do Produto 366;604.83;59
367;Produto 367;Descrição detalhada do Produto 367;386.95;241
368;Produto 368;Descrição detalhada do Produto 368;785.44;357
369;Produto 369;Descrição detalhada do Produto 369;687.58;136
370;Produto 370;Descrição detalhada do Produto 370;960.78;199
371;Produto 371;Descrição detalhada do Produto 371;1005.13;487
372;Produto 372;Descrição detalhada do Produto 372;279.86;15
373;Produto 373;Descrição detalhada do Produto 373;1275.01;342
374;Produto 374;Descrição detalhada do Produto 374;92.26;253
375;Produto 375;Descrição detalhada do Produto 375;422.98;373
376;Produto 376;Descrição detalhada do Produto 376;505.64;370
377;Produto 377;Descrição detalhada do Produto 377;145.91;162
378;Produto 378;Descrição detalhada do Produto 378;753.75;238
379;Produto 379;Descrição detalhada do Produto 379;1186.78;53
380;Produto 380;Descrição detalhada do Produto 380;83.56;403
381;Produto 381;Descrição detalhada do Produto 381;541.3;127
382;Produto 382;Descrição detalhada do Produto 382;635.93;306
383;Produto 383;Descrição detalhada do Produto 383;215.81;384
384;Produto 384;Descrição detalhada do Produto 384;871.04;108
385;Produto 385;Descrição detalhada do Produto 385;1202.4;5
386;Produto 386;Descrição detalhada do Produto 386;685.38;158
387;Produto 387;Descrição detalhada do Produto 387;784.09;221
388;Produto 388;Descrição detalhada do Produto 388;1203.68;322
389;Produto 389;Descrição detalhada do Produto 389;1035.26;165
390;Produto 390;Descrição detalhada do Produto 390;848.45;38
391;Produto 391;Descrição detalhada do Produto 391;1264.38;490
392;Produto 392;Descrição detalhada do Produto 392;695.99;379
393;Produto 393;Descrição detalhada do Produto 393;145.15;434
394;Produto 394;Descrição detalhada do Produto 394;226.18;304
395;Produto 395;Descrição detalhada do Produto 395;221.22;138
396;Produto 396;Descrição detalhada do Produto 396;1496.15;262
397;Produto 397;Descrição detalhada do Produto 397;87.31;26
398;Produto 398;Descrição detalhada do Produto 398;415.31;95
399;Produto 399;Descrição detalhada do Produto 399;723.59;48
400;Produto 400;Descrição detalhada do Produto 400;858.81;471
401;Produto 401;Descrição detalhada do Produto 401;559.53;316
402;Produto 402;Descrição detalhada do Produto 402;1224.75;101
403;Produto 403;Descrição detalhada do Produto 403;681.32;297
404;Produto 404;Descrição detalhada do Produto 404;170.35;399
405;Produto 405;Descrição detalhada do Produto 405;991.5;194
406;Produto 406;Descrição detalhada do Produto 406;714.76;6
407;Produto 407;Descrição detalhada do Produto 407;1477.99;380
408;Produto 408;Descrição detalhada do Produto 408;1150.28;370
409;Produto 409;Descrição detalhada do Produto 409;368.56;117
410;Produto 410;Descrição detalhada do Produto 410;1298.85;185
411;Produto 411;Descrição detalhada do Produto 411;1242.87;371
412;Produto 412;Descrição detalhada do Produto 412;192.8;10
413;Produto 413;Descrição detalhada do Produto 413;852.55;423
414;Produto 414;Descrição detalhada do Produto 414;88.91;10
415;Produto 415;Descrição detalhada do Produto 415;600.26;211
416;Produto 416;Descrição detalhada do Produto 416;56.92;295
417;Produto 417;Descrição detalhada do Produto 417;333.19;42
418;Produto 418;Descrição detalhada do Produto 418;52.65;160
419;Produto 419;Descrição detalhada do Produto 419;546.47;122
420;Produto 420;Descrição detalhada do Produto 420;574.72;272
421;Produto 421;Descrição detalhada do Produto 421;249.07;415
422;Produto 422;Descrição detalhada do Produto 422;1278.36;484
423;Produto 423;Descrição detalhada do Produto 423;1320.98;97
424;Produto 424;Descrição detalhada do Produto 424;149.8;445
425;Produto 425;Descrição detalhada do Produto 425;1247.59;435
426;Produto 426;Descrição detalhada do Produto 426;340.27;278
427;Produto 427;Descrição detalhada do Produto 427;1368.06;218
428;Produto 428;Descrição detalhada do Produto 428;977.75;360
429;Produto 429;Descrição detalhada do Produto 429;1177.2;426
430;Produto 430;Descrição detalhada do Produto 430;502.54;35
431;Produto 431;Descrição detalhada do Produto 431;490.59;270
432;Produto 432;Descrição detalhada do Produto 432;299.33;58
433;Produto 433;Descrição detalhada do Produto 433;934.12;146
434;Produto 434;Descrição detalhada do Produto 434;1209.57;264
435;Produto 435;Descrição detalhada do Produto 435;948.85;216
436;Produto 436;Descrição detalhada do Produto 436;1383.75;346
437;Produto 437;Descrição detalhada do Produto 437;1457.34;47
438;Produto 438;Descrição detalhada do Produto 438;60.82;93
439;Produto 439;Descrição detalhada do Produto 439;182.59;409
440;Produto 440;Descrição detalhada do Produto 440;1203.82;359
441;Produto 441;Descrição detalhada do Produto 441;492.17;37
442;Produto 442;Descrição detalhada do Produto 442;581.99;120
443;Produto 443;Descrição detalhada do Produto 443;306.7;351
444;Produto 444;Descrição detalhada do Produto 444;153.18;203
445;Produto 445;Descrição detalhada do Produto 445;860.05;45
446;Produto 446;Descrição detalhada do Produto 446;1061.71;203
447;Produto 447;Descrição detalhada do Produto 447;795.99;99
448;Produto 448;Descrição detalhada do Produto 448;261.41;345
449;Produto 449;Descrição detalhada do Produto 449;1127.4;7
450;Produto 450;Descrição detalhada do Produto 450;685.85;213
451;Produto 451;Descrição detalhada do Produto 451;781.43;88
452;Produto 452;Descrição detalhada do Produto 452;76.85;194
453;Produto 453;Descrição detalhada do Produto 453;1058.57;96
454;Produto 454;Descrição detalhada do Produto 454;1190.86;184
455;Produto 455;Descrição detalhada do Produto 455;250.14;340
456;Produto 456;Descrição detalhada do Produto 456;436.34;466
457;Produto 457;Descrição detalhada do Produto 457;445.94;115
458;Produto 458;Descrição detalhada do Produto 458;373.15;219
459;Produto 459;Descrição detalhada do Produto 459;882.3;267
460;Produto 460;Descrição detalhada do Produto 460;842.26;54
461;Produto 461;Descrição detalhada do Produto 461;1381.74;267
462;Produto 462;Descrição detalhada do Produto 462;75.95;113
463;Produto 463;Descrição detalhada do Produto 463;1281.03;397
464;Produto 464;Descrição detalhada do Produto 464;784.26;170
465;Produto 465;Descrição detalhada do Produto 465;396.71;416
466;Produto 466;Descrição detalhada do Produto 466;1395.74;371
467;Produto 467;Descrição detalhada do Produto 467;254.81;411
468;Produto 468;Descrição detalhada do Produto 468;1040.19;126
469;Produto 469;Descrição detalhada do Produto 469;1269.18;426
470;Produto 470;Descrição detalhada do Produto 470;518.03;21
471;Produto 471;Descrição detalhada do Produto 471;237.33;295
472;Produto 472;Descrição detalhada do Produto 472;1102.55;225
473;Produto 473;Descrição detalhada do Produto 473;1233.94;69
474;Produto 474;Descrição detalhada do Produto 474;1303.66;437
475;Produto 475;Descrição detalhada do Produto 475;791.73;324
476;Produto 476;Descrição detalhada do Produto 476;298.62;286
