id;nome;descrição;preço;estoque
79;Produto 79;Descrição detalhada do Produto 79;124.57;132
80;Produto 80;Descrição detalhada do Produto 80;278.96;390
81;Produto 81;Descrição detalhada do Produto 81;246.13;257
82;Produto 82;Descrição detalhada do Produto 82;903.94;409
83;Produto 83;Descrição detalhada do Produto 83;870.57;227
84;Produto 84;Descrição detalhada do Produto 84;1495.62;24
85;Produto 85;Descrição detalhada do Produto 85;1150.77;304
86;Produto 86;Descrição detalhada do Produto 86;126.28;278
87;Produto 87;Descrição detalhada do Produto 87;29.29;96
88;Produto 88;Descrição detalhada do Produto 88;511.0;445
89;Produto 89;Descrição detalhada do Produto 89;32.34;259
90;Produto 90;Descrição detalhada do Produto 90;1266.69;104
91;Produto 91;Descrição detalhada do Produto 91;1434.83;497
92;Produto 92;Descrição detalhada do Produto 92;152.14;319
93;Produto 93;Descrição detalhada do Produto 93;1372.91;134
94;Produto 94;Descrição detalhada do Produto 94;1494.39;364
95;Produto 95;Descrição detalhada do Produto 95;33.23;334
96;Produto 96;Descrição detalhada do Produto 96;1130.72;22
97;Produto 97;Descrição detalhada do Produto 97;176.94;155
98;Produto 98;Descrição detalhada do Produto 98;420.64;456
99;Produto 99;Descrição detalhada do Produto 99;898.81;432
100;Produto 100;Descrição detalhada do Produto 100;804.64;83
101;Produto 101;Descrição detalhada do Produto 101;301.75;397
102;Produto 102;Descrição detalhada do Produto 102;1231.01;233
103;Produto 103;Descrição detalhada do Produto 103;1246.41;200
104;Produto 104;Descrição detalhada do Produto 104;1243.2;177
105;Produto 105;Descrição detalhada do Produto 105;377.5;181
106;Produto 106;Descrição detalhada do Produto 106;420.33;491
107;Produto 107;Descrição detalhada do Produto 107;573.5;55
108;Produto 108;Descrição detalhada do Produto 108;778.94;314
109;Produto 109;Descrição detalhada do Produto 109;725.72;317
110;Produto 110;Descrição detalhada do Produto 110;66.52;155
111;Produto 111;Descrição detalhada do Produto 111;1105.03;342
112;Produto 112;Descrição detalhada do Produto 112;1459.08;235
113;Produto 113;Descrição detalhada do Produto 113;228.52;125
114;Produto 114;Descrição detalhada do Produto 114;196.25;107
115;Produto 115;Descrição detalhada do Produto 115;1172.76;462
116;Produto 116;Descrição detalhada do Produto 116;419.39;142
117;Produto 117;Descrição detalhada do Produto 117;1003.92;441
118;Produto 118;Descrição detalhada do Produto 118;1224.15;46
119;Produto 119;Descrição detalhada do Produto 119;1088.32;208
120;Produto 120;Descrição detalhada do Produto 120;225.51;21
121;Produto 121;Descrição detalhada do Produto 121;1399.53;386
122;Produto 122;Descrição detalhada do Produto 122;342.15;142
123;Produto 123;Descrição detalhada do Produto 123;281.65;231
124;Produto 124;Descrição detalhada do Produto 124;926.36;358
125;Produto 125;Descrição detalhada do Produto 125;762.44;114
126;Produto 126;Descrição detalhada do Produto 126;1285.84;125
127;Produto 127;Descrição detalhada do Produto 127;389.4;207
128;Produto 128;Descrição detalhada do Produto 128;1163.42;144
129;Produto 129;Descrição detalhada do Produto 129;217.17;351
130;Produto 130;Descrição detalhada do Produto 130;1394.13;136
131;Produto 131;Descrição detalhada do Produto 131;741.08;467
132;Produto 132;Descrição detalhada do Produto 132;716.92;404
133;Produto 133;Descrição detalhada do Produto 133;728.18;193
134;Produto 134;Descrição detalhada do Produto 134;1034.76;311
135;Produto 135;Descrição detalhada do Produto 135;933.26;471
136;Produto 136;Descrição detalhada do Produto 136;855.0;282
137;Produto 137;Descrição detalhada do Produto 137;1302.6;241
138;Produto 138;Descrição detalhada do Produto 138;734.29;114
139;Produto 139;Descrição detalhada do Produto 139;1089.06;378
140;Produto 140;Descrição detalhada do Produto 140;916.31;276
141;Produto 141;Descrição detalhada do Produto 141;538.14;356
142;Produto 142;Descrição detalhada do Produto 142;167.0;28
143;Produto 143;Descrição detalhada do Produto 143;892.77;352
144;Produto 144;Descrição detalhada do Produto 144;998.44;66
145;Produto 145;Descrição detalhada do Produto 145;141.15;111
146;Produto 146;Descrição detalhada do Produto 146;408.95;480
147;Produto 147;Descrição detalhada do Produto 147;1427.2;372
148;Produto 148;Descrição detalhada do Produto 148;141.22;361
149;Produto 149;Descrição detalhada do Produto 149;211.55;178
150;Produto 150;Descrição detalhada do Produto 150;1057.31;275
151;Produto 151;Descrição detalhada do Produto 151;1129.95;47
152;Produto 152;Descrição detalhada do Produto 152;1328.21;387
153;Produto 153;Descrição detalhada do Produto 153;1463.67;263
154;Produto 154;Descrição detalhada do Produto 154;114.11;235
155;Produto 155;Descrição detalhada do Produto 155;141.92;223
156;Produto 156;Descrição detalhada do Produto 156;1176.05;280
157;Produto 157;Descrição detalhada do Produto 157;772.97;262
158;Produto 158;Descrição detalhada do Produto 158;455.93;438
159;Produto 159;Descrição detalhada do Produto 159;111.82;384
160;Produto 160;Descrição detalhada do Produto 160;293.42;34
161;Produto 161;Descrição detalhada do Produto 161;1072.93;354
162;Produto 162;Descrição detalhada do Produto 162;942.07;189
163;Produto 163;Descrição detalhada do Produto 163;254.79;440
164;Produto 164;Descrição detalhada do Produto 164;108.3;216
165;Produto 165;Descrição detalhada do Produto 165;1228.92;183
166;Produto 166;Descrição detalhada do Produto 166;291.6;302
167;Produto 167;Descrição detalhada do Produto 167;356.96;195
168;Produto 168;Descrição detalhada do Produto 168;602.58;290
169;Produto 169;Descrição detalhada do Produto 169;1020.67;341
170;Produto 170;Descrição detalhada do Produto 170;1355.11;96
171;Produto 171;Descrição detalhada do Produto 171;90.74;32
172;Produto 172;Descrição detalhada do Produto 172;557.29;114
173;Produto 173;Descrição detalhada do Produto 173;15.41;120
174;Produto 174;Descrição detalhada do Produto 174;1189.41;54
175;Produto 175;Descrição detalhada do Produto 175;165.52;85
176;Produto 176;Descrição detalhada do Produto 176;625.5;500
177;Produto 177;Descrição detalhada do Produto 177;1499.2;44
178;Produto 178;Descrição detalhada do Produto 178;775.1;425
179;Produto 179;Descrição detalhada do Produto 179;1481.96;190
180;Produto 180;Descrição detalhada do Produto 180;13.07;97
181;Produto 181;Descrição detalhada do Produto 181;53.43;467
182;Produto 182;Descrição detalhada do Produto 182;1103.05;444
183;Produto 183;Descrição detalhada do Produto 183;67.52;173
184;Produto 184;Descrição detalhada do Produto 184;1280.61;314
185;Produto 185;Descrição detalhada do Produto 185;510.54;401
186;Produto 186;Descrição detalhada do Produto 186;780.62;127
187;Produto 187;Descrição detalhada do Produto 187;380.97;424
188;Produto 188;Descrição detalhada do Produto 188;1066.15;461
189;Produto 189;Descrição detalhada do Produto 189;479.78;448
190;Produto 190;Descrição detalhada do Produto 190;718.59;99
191;Produto 191;Descrição detalhada do Produto 191;834.53;125
192;Produto 192;Descrição detalhada do Produto 192;807.13;81
193;Produto 193;Descrição detalhada do Produto 193;350.57;219
194;Produto 194;Descrição detalhada do Produto 194;273.43;239
195;Produto 195;Descrição detalhada do Produto 195;618.56;474
196;Produto 196;Descrição detalhada do Produto 196;1041.41;492
197;Produto 197;Descrição detalhada do Produto 197;526.08;305
198;Produto 198;Descrição detalhada do Produto 198;75.24;488
199;Produto 199;Descrição detalhada do Produto 199;643.56;357
200;Produto 200;Descrição detalhada do Produto 200;6.58;437
